Name,ID,Donor,Family,Species
MGDG_SOYBN,Q9FZL4,UDP-alpha-D-galactose,28, Glycine max (Soybean) (Glycine hispida).
TPS9_ARATH,Q9LRA7,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
LGT_CITUN,Q9MB73,UDP-alpha-D-glucose,1, Citrus unshiu (Satsuma mandarin) (Citrus nobilis var. unshiu).
TPS3_ARATH,Q9SHG0,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
TPS4_ARATH,Q9T079,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
MUR3_ARATH,Q7XJ98,UDP-alpha-D-galactose,47, Arabidopsis thaliana (Mouse-ear cress).
GT18_ARATH,F4K6F1,UDP-alpha-D-galactose,47, Arabidopsis thaliana (Mouse-ear cress).
GT16_ARATH,Q9SH31,UDP-alpha-D-galacturonate,47, Arabidopsis thaliana (Mouse-ear cress).
XGD1_ARATH,Q94AA9,UDP-alpha-D-xylose,47, Arabidopsis thaliana (Mouse-ear cress).
FUT1_ARATH,Q9SWH5,GDP-beta-L-fucose,37, Arabidopsis thaliana (Mouse-ear cress).
FUT4_ARATH,Q9SJP2,GDP-beta-L-fucose,37, Arabidopsis thaliana (Mouse-ear cress).
FUT6_ARATH,Q9XI80,GDP-beta-L-fucose,37, Arabidopsis thaliana (Mouse-ear cress).
IX10L_ARATH,Q940Q8,UDP-alpha-D-xylose,47, Arabidopsis thaliana (Mouse-ear cress).
IRX10_ARATH,Q9FZJ1,UDP-alpha-D-xylose,47, Arabidopsis thaliana (Mouse-ear cress).
FUT1_PEA,Q9M5Q1,GDP-beta-L-fucose,37,Pisum sativum (Garden pea) (Lathyrus oleraceus)
GLCT_ECOLX,A6M9B7,UDP-alpha-D-xylose,61,Escherichia coli.
RCN11_ORYSJ,Q6ZFH6,UDP-alpha-D-xylose,61,Oryza sativa subsp. japonica (Rice).
XAX1_ORYSJ,Q6Z7I3,UDP-alpha-D-xylose,61,Oryza sativa subsp. japonica (Rice).
XYXT1_ORYSJ,Q5Z8T8,UDP-alpha-D-xylose,61,Oryza sativa subsp. japonica (Rice).
SSY3A_ORYSJ,A0A0P0XCU3,Eight,5, Oryza sativa subsp. japonica (Rice).
GTFA_STRPA,A1C3L9,Eight,4, Streptococcus parasanguinis.
KDTA_CHLP6,F0T4D1,Eight,30, Chlamydophila psittaci (strain ATCC VR-125 / 6BC) (Chlamydia psittaci).
SSY3_ARATH,F4IAG2,Eight,5, Arabidopsis thaliana (Mouse-ear cress).
OGT1_HUMAN,O15294,Eight,41, Homo sapiens (Human).
OGT1_CAEEL,O18158,Eight,41, Caenorhabditis elegans.
KDTA_AQUAE,O66663,Eight,30, Aquifex aeolicus (strain VF5).
MURG_ECOLI,P17443,Eight,28, Escherichia coli (strain K12).
WAAC_ECOLI,P24173,Eight,9, Escherichia coli (strain K12).
GPI3_YEAST,P32363,Eight,4, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
ALG13_YEAST,P53178,Eight,1, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
PGLH_CAMJE,Q0P9C5,Eight,4, Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168).
EOGT_HUMAN,Q5NDL2,Eight,61, Homo sapiens (Human).
PMGT2_MOUSE,Q8BW41,Eight,61, Mus musculus (Mouse).
SQD2_ARATH,Q8S4F6,Eight,4, Arabidopsis thaliana (Mouse-ear cress).
ALG13_MOUSE,Q9D8C3,Eight,1, Mus musculus (Mouse).
ERYC3_SACEN,A4F7P3,Eight,1, Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338).
LPXB_ARATH,F4IF99,Eight,19, Arabidopsis thaliana (Mouse-ear cress).
LPXB_ECOLI,P10441,Eight,19, Escherichia coli (strain K12).
WAAQ_ECOLI,P25742,Eight,9, Escherichia coli (strain K12).
GTFD_AMYOR,Q9AFC7,Eight,1, Amycolatopsis orientalis (Nocardia orientalis).
AKNS_STRGJ,Q9L4U6,Eight,1, Streptomyces galilaeus.
DES7_STRVZ,Q9ZGH7,Eight,1, Streptomyces venezuelae.
MURG_LISW6,A0AKD5,Eight,28, Listeria welshimeri serovar 6b (strain ATCC 35897 / DSM 20650 / CIP 8149 / NCTC 11857 / SLCC 5334 / V8).
GLGM_MYCS2,A0R2E2,Eight,4, Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis).
WECF_ECOK1,A1AHW2,Eight,56, Escherichia coli O1:K1 / APEC.
WECF_YERE8,A1JI79,Eight,56, Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081).
VALL_STRHJ,H2K885,Eight,20, Streptomyces hygroscopicus subsp. jinggangensis (strain 5008).
TYLN_STRFR,O70023,Eight,1, Streptomyces fradiae (Streptomyces roseoflavus).
WBNH_ECOLX,P0DMP6,Eight,4, Escherichia coli.
GGPS_SYNY3,P74258,Eight,20, Synechocystis sp. (strain PCC 6803 / Kazusa).
TYLM2_STRFR,P95747,Eight,1, Streptomyces fradiae (Streptomyces roseoflavus).
GTFA_AMYOR,P96558,Eight,1, Amycolatopsis orientalis (Nocardia orientalis).
GTFC_AMYOR,P96560,Eight,1, Amycolatopsis orientalis (Nocardia orientalis).
GLGM_MYCTO,P9WMZ0,Eight,4, Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh).
VLDE_STRHL,Q15JG1,Eight,20, Streptomyces hygroscopicus subsp. limoneus.
DNRS_STRPE,Q54824,Eight,1, Streptomyces peucetius.
ELMGT_STROV,Q9F2F9,Eight,1, Streptomyces olivaceus.
AKNK_STRGJ,Q9L555,Eight,1, Streptomyces galilaeus.
NOVM_STRNV,Q9L9F5,Eight,1, Streptomyces niveus (Streptomyces spheroides).
TYLCV_STRFR,Q9XC67,Eight,1, Streptomyces fradiae (Streptomyces roseoflavus).
ERYBV_SACER,O33939,Eight,1, Saccharopolyspora erythraea (Streptomyces erythraeus).
GGPS_SYNP2,O65979,Eight,20, Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum).
